player name,Role,Matches,country,ODI runs,Average,Strike Rate,Balls Bowled,Wkts,Bowling Average,Economy,won,lost,no result
Prithvi Shaw,batsman,3,India,84,28,102.44,,,,,0,3,0
Steve smith,batsman,125,Australia,4162,42.47,86.67,,,,,87,32,6
Virat Kohli,batsman,248,India,11867,59.34,93.25,,,,,150,85,13
Chris lynn,batsman,4,Australia,75,18.75,84.27,,,,,3,1,0
Mitchell marsh,all-rounder,57,Australia,1539,34.98,91.99,1835,47,36.17,5.56,30,20,7
Shikhar Dhawan,batsman,136,India,5688,45.14,94.02,,,,,76,50,10
Rohit Sharma,batsman,224,India,9115,49.27,88.93,,,,,160,60,4
David Warner,batsman,123,Australia,5267,45.42,95.76,,,,,70,40,13
Aaron finch,batsman,126,Australia,4882,41.03,88.7,,,,,70,43,13
Hardik Pandya,all-rounder,54,India,957,29.14,113.11,2368,54,40.23,5.54,30,20,4
Vijay Shankar,all-rounder,12,India,223,31.25,90.45,233,4,52.14,5.42,6,5,1
Glenn maxwell,all-rounder,110,Australia,2877,32.33,123.37,2698,50,50.5,5.62,60,39,11
Ravindra Jadeja,all-rounder,165,India,2235,31.47,85.72,8377,187,36.28,4.9,105,55,5
Travis head,all- rounder,42,Australia,1273,34.41,90.03,765,12,61.43,5.78,30,10,2
Kedar Jadhav,all-rounder,73,India,1389,42.56,101.23,1187,27,37.25,5.12,43,26,4
nathon lyon,bowler,121,Australia,120,58.6,58.6,8650,329,45.8,5.89,80,40,1
Adam zampa,bowler,60,australia,,,,2888,75,36.01,5.61,38,20,2
Kane richardson,bowler,45,Australia,,,,1480,42,42.8,7.8,20,25,0
Marcus stoinis,all-rounder,41,australia,1050,33.87,91.86,1414,33,43.82,6.14,30,10,1
MS Dhoni,wicket keeper,350,India,10338,50.25,87.12,,,,,205,124,21
Quinton de Kock,Batsman,121,South Africa,5135,44.65,94.85,,,,,74,42,5
Faf du plessis,Batsman,143,South Africa,5507,46.67,88.57,192,2,94.5,5.91,88,51,4
Kagiso Rabada,Bowler,75,South Africa,259,16.19,77.78,3842,117,27.34,5,47,26,2
Janneman Malan,Batsman,3,South Africa,152,76,91.57,,,,,3,0,0
Rassie van der Dussen,Batsman,21,South Africa,707,70.7,81.83,,,,,11,8,2
Lungi Ngidi,Bowler,26,South Africa,47,15.67,71.21,1230,53,21.51,23.21,16,10,0
Tabraiz Shamsi,Bowler,22,South Africa,0,0,0,1119,26,38.19,5.32,17,4,1
Imran Tahir,Bowler,107,South Africa,157,7.85,69.78,5541,173,24.84,4.65,65,39,3
David Miller,Batsman,132,South Africa,3231,40.39,100.62,,,,,77,50,5
Jean Paul Duminy,all-rounder,199,South Africa,5117,36.81,84.58,3513,69,45.55,5.37,124,69,6
Dwaine Pretorius,all-rounder,22,South Africa,135,15,93.1,1022,29,28.03,4.77,16,6,0
KL Rahul,wicket keeper,32,India,1461,47.25,87.07,,,,,20,10,2
Dinesh Kartik,wicket keeper,94,India,1752,30.25,73.48,,,,,40,52,2
Bhuvneshwar Kumar,bowler,114,India,,,,4568,132,32.53,5.03,60,50,4
Mohammed Shami,bowler,77,India,,,,3930,144,25.56,5.49,55,26,1
JAsprit Bumrah,bowler,64,India,,,,3346,104,24.43,4.56,47,17,0
yuzvendra chahal,bowler,66,India,,,,2779,91,25.47,5.28,42,12,2
kuldeep yadav,bowler,60,India,,,,3192,105,25,5.14,40,19,1
Ambati rayudu,batsman,55,India,1694,47.28,79.05,,,,,30,23,2
Darcy short,batsman,120,Australia,4560,60.28,92.87,,,,,85,35,0
Alex carey,wicket keeper,36,Australia,884,34,91.23,,,,,30,5,1
Andre tye,bowler,7,Australia,,,,386,12,32.67,6.08,4,2,1
Usman khwaja,batsman,123,Australia,1098,41.83,86.78,,,,,72,35,16
Shreyas Iyer,batsman,18,India,748,49.58,100.27,,,,,12,6,0
James Faulkner,bowler,69,Australia,,,,3211,96,30.85,50.53,40,23,6
pat cummins,bowler,64,Australia,,,,3363,105,27.55,5.16,48,12,4
Mitchell starc,bowler,91,Australia,,,,4648,178,22.23,5.11,67,22,2
George bailey,batsman,90,Australia,3044,40.49,83.51,,,,,56,23,11
Manish Pandey,batsman,26,India,492,35.28,91.96,,,,,18,7,1
Shardul Thakur,bowler,11,India,,,,522,12,50.27,7.28,6,4,1
Deepak chahar,bowler,3,India,,,,126,2,64.28,6.2,2,1,0
Darren Bravo,batsman,112,West Indies,2902,28.74,70.24,,,,,43,63,6
chris gayle,batsman,300,West Indies,10480,37.28,87.14,,,,,118,161,21
Evin Lewis,batsman,50,West Indies,1610,35.27,83.47,,,,,22,24,4
Shimron Hetmyer,batsman,44,West Indies,1430,36.28,106.78,,,,,24,18,2
Chris Morris,all-rounder,42,South Africa,468,20.35,100.65,1894,48,36.85,5.56,17,22,3
Jason Holder,all-rounder,113,West Indies,1821,24.25,94.28,5214,136,36.25,5.55,60,50,3
Fabian Allen,all-rounder,14,West Indies,143,15.89,110.24,396,4,99.25,6.27,8,5,1
Andre Russel,all-rounder,56,West Indies,1034,27.15,130.25,2290,70,31.24,5.24,40,12,2
Carlos Brathwaite,all-rounder,43,West Indies,559,16.25,99.21,1823,41,43.28,5.58,20,19,4
Andile Phehlukwayo,Bowler,58,South Africa,563,29.63,87.56,2299,69,31.16,5.61,38,18,2
Babar Azam,batsman,74,Pakistan,3359,54.18,87.09,,,,,36,35,3
Sarfaraz Ahmed,batsman,116,Pakistan,2302,33.85,87.8,12,0,0,7.5,61,51,4
Imad Wasim,Bowler,53,Pakistan,952,41.39,109.68,2313,42,44.4,4.84,28,24,1
Mohammad Amir,Bowler,61,Pakistan,363,18.15,81.76,3013,81,29.63,4.78,27,33,1
Shoaib Malik,all-rounder,287,Pakistan,7534,34.56,81.9,7958,158,39.19,4.67,156,123,8
Mohammad Hafeez,all-rounder,218,Pakistan,6614,32.91,76.6,7733,139,38.86,4.19,107,104,7
Shaheen Afridi,Bowler,19,Pakistan,42,21,65.62,924,40,21.18,5.5,7,10,2
Hasan Ali,Bowler,53,Pakistan,280,14,113.36,2548,82,29.04,5.61,25,26,2
Fakhar Zaman,batsman,46,Pakistan,1958,46.62,95.23,135,1,111,4.93,26,18,2
